Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
69.0,1.201160197627879,1.130589235898382,1.129027831756775,1.1290008362462938,1.1290000357020433
69.5,1.2002499361607926,1.130569188556041,1.1290274806743776,1.1290008256975046,1.1290000352516816
70.0,1.20114071960315,1.1305888069332186,1.1290278242447003,1.129000836020589,1.1290000356924077
70.5,1.2821724114595654,1.1323734261015543,1.1290590776828924,1.1290017750763506,1.1290000757837175
71.0,1.3015510717711398,1.1328002162739337,1.1290665519165863,1.1290019996507594,1.1290000853715212
71.5,1.3051765505085131,1.1328800628000242,1.1290679502421304,1.1290020416655193,1.1290000871652666
72.0,1.3049772910639912,1.1328756743667365,1.1290678733889787,1.1290020393563533,1.1290000870666808
72.5,1.3049915759557709,1.1328759889733337,1.1290678788985817,1.1290020395218974,1.1290000870737482
73.0,1.3061624759011454,1.1329017766604064,1.1290683305118747,1.1290020530913423,1.1290000876530737
73.5,1.9985533791229122,1.148150798968959,1.1293353815355556,1.129010077034201,1.129000430220993
74.0,2.0933073060815217,1.150237632891257,1.129371927561652,1.1290111751136451,1.1290004771015374
74.5,2.087062790920599,1.15010010545214,1.1293695190897288,1.129011102747547,1.129000474011996
75.0,2.019001166968823,1.1486011353961372,1.1293432681286182,1.1290103139986005,1.1290004403377676
75.5,1.938638837399522,1.1468312580510573,1.1293122728586096,1.1290093826998728,1.12900040057763
76.0,1.8479161129841875,1.1448332062866604,1.1292772816463639,1.1290083313371522,1.1290003556915744
76.5,1.766764715982178,1.143045950736188,1.1292459820375418,1.1290073908941116,1.1290003155410366
77.0,1.6604065827714072,1.1407035491450035,1.1292049603423033,1.1290061583366198,1.1290002629191944
77.5,1.6632207544399447,1.1407655276311797,1.1292060457500748,1.1290061909492826,1.1290002643115327
78.0,1.541993111510639,1.138095644145506,1.1291592889740492,1.1290047860728096,1.1290002043328389
78.5,1.4648067415814405,1.1363957132299913,1.1291295186522392,1.1290038915794562,1.1290001661440412
79.0,1.3601528614527107,1.1340908456237948,1.1290891542770227,1.1290026787721137,1.1290001143653958
79.5,1.3291631319964874,1.1334083365224845,1.1290772017231103,1.129002319639947,1.1290000990328886
80.0,1.2808627679235343,1.1323445828942413,1.129058572561702,1.129001759899244,1.129000075135758
80.5,1.2518400501444253,1.1317053947192317,1.1290473786729496,1.1290014235623005,1.1290000607764519
81.0,1.2363488055100997,1.1313642198969418,1.1290414037922578,1.1290012440381703,1.1290000531119897
81.5,1.1915112375466375,1.130376729918842,1.1290241102106948,1.1290007244269398,1.1290000309281152
82.0,1.1688010838026381,1.1298765678769094,1.1290153510400787,1.1290004612447029,1.1290000196920194
82.5,1.151213223270979,1.1294892177831013,1.1290085675074368,1.1290002574234321,1.1290000109902338
83.0,1.1396228955934893,1.1292339556664193,1.129004097187367,1.1290001231060547,1.1290000052557931
83.5,1.1366107963688583,1.1291676180385992,1.1290029354386475,1.1290000881995952,1.1290000037655243
84.0,1.132557470028655,1.1290783487197646,1.1290013720949321,1.1290000412266217,1.129000001760097
84.5,1.1306064615251183,1.1290353802570265,1.129000619602612,1.1290000186168767,1.1290000007948142
85.0,1.1298293057802578,1.1290182643972853,1.1290003198582814,1.129000009610615,1.1290000004103078
