Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
59.46,1e+30,-6.617696042488774,-3.2844171900684387,-53.42144502209385,-78.77609964363205,-56.45214208494957
60.46,1e+30,-6.548966052766218,-3.2503059289646217,-52.866621242569636,-77.95794792070569,-55.86584230361626
61.46,1e+30,-6.541903445346634,-3.2468006986647424,-52.80960825320665,-77.8738757021265,-55.80559490619822
62.46,1e+30,-6.632986598715092,-3.292006019375094,-53.544878252979174,-78.95811621688506,-56.58257790671797
63.46,1e+30,-6.637322625251045,-3.294158025275692,-53.57988090291792,-79.00973171804264,-56.619566391036756
64.46000000000001,1e+30,-6.612430203217514,-3.281803711027578,-53.3789365130483,-78.71341609798117,-56.40722224731962
65.46000000000001,1e+30,-6.717504872326231,-3.3339531363077413,-54.227153196556856,-79.96420948209595,-57.30355948272734
66.46000000000001,1e+30,-6.666073968762134,-3.3084275545024866,-53.811976534428595,-79.35198358405046,-56.86482925426583
67.46000000000001,1e+30,-6.600502606678788,-3.275883946293334,-53.282650811779945,-78.57143166526987,-56.305474035606835
68.46000000000001,1e+30,-6.627697311140537,-3.2893809024996017,-53.50218042924428,-78.89515341655851,-56.53745787865603
69.46000000000001,1e+30,-6.669190599299554,-3.3099743637566235,-53.837135554212296,-79.38908339171212,-56.891415473343386
70.46000000000001,1e+30,-6.598547074559633,-3.2749133993414716,-53.2668647269619,-78.54815318116414,-56.28879226013106
71.46000000000001,1e+30,-6.523829004623963,-3.2378302044651264,-52.66370207189652,-77.65872015339505,-55.65141118557523
72.46000000000001,1e+30,-6.537001882935215,-3.2443680124338243,-52.77004028376405,-77.81552803617501,-55.7637819910492
73.46000000000001,1e+30,-6.497776862417595,-3.2249003110124477,-52.45339576743481,-77.34859912703064,-55.42917373152517
74.46000000000001,1e+30,-6.476194989523151,-3.2141890492886205,-52.279175792999126,-77.09169162413934,-55.24506993745757
75.46000000000001,1e+30,-6.473113012119825,-3.2126594384299096,-52.25429648398233,-77.05500419655118,-55.218779165868455
76.46000000000001,1e+30,-6.477385541523404,-3.214779930062491,-52.288786539243006,-77.10586377591574,-55.25522591109609
77.46000000000001,1e+30,-6.493552286818613,-3.2228036190480225,-52.41929279731096,-77.29831027794899,-55.39313592163603
78.46000000000001,1e+30,-6.431845507524486,-3.192178034764652,-51.92116392621449,-76.56376157423256,-54.86674717764561
79.46000000000001,1e+30,-6.207164663165372,-3.0806670767423157,-50.10742466046702,-73.88919334377846,-52.95011129612374
80.46000000000001,1e+30,-5.951986977376578,-2.9540202843335237,-48.047499191919314,-70.85159502395334,-50.77332252500889
81.46000000000001,1e+30,-5.72493336784828,-2.8413317024292155,-46.21460564028041,-68.14878125015281,-48.8364451876883
82.46000000000001,1e+30,-5.234523805423464,-2.5979373859574935,-42.25576736839048,-62.311015897842424,-44.653014071264295
83.46000000000001,1e+30,-3.9478536184432755,-1.9593523486149138,-31.869104158506786,-46.994679931923486,-33.67709677583201
84.46000000000001,1e+30,-2.267885780614705,-1.1255704405357676,-18.30754019925348,-26.996585926139602,-19.346161277492428
85.46000000000001,1e+30,-1.0324900082586197,-0.5124333194532227,-8.33479052838365,-12.290613667210465,-8.807640088647574
86.46000000000001,1e+30,-1.049308527005536,-0.5207804841772514,-8.470557695269889,-12.490816275931877,-8.951106839844186
87.46000000000001,1e+30,-0.05112554201152264,-0.02537403075075595,-0.4127118976478057,-0.6085921742152252,-0.43612694880077685
88.46000000000001,1e+30,5.732170477168452e-08,2.843436130994803e-08,4.6100791811776176e-07,6.739037969882844e-07,4.775209483942611e-07
