Z0,C0,Z1,C1,Z2,C2,Z3,C3,Z4,C4,Z5,C5
,,,,,,,,,,79.98,543.94
,,,,,,,,,,80.23,543.9
,,,,,,,,,,80.48,543.39
,,,,,,,,,,80.74,542.85
,,,,,,,,,,80.97,542.82
,,,,,,,,,,81.24,542.57
,,,,,,,,,,81.48,542.14
,,,,,,,,,,81.77,540.53
,,,,,,,,,,82.06,541.38
,,,,,,,,,,82.41,541.24
,,,,,,,,,,82.75,540.83
,,,,,,,,,,83.07,537.87
,,,,,,,,,,83.37,517.9
,,,,,,,,,,83.72,472.5
,,,,,,,,,,84.05,339.07
,,,,,,,,,,84.39,321.4
,,,,,,,,,,84.7,295.98
,,,,,,,,,,85,228.2
,,,,,,,,,,85.29,210.67
,,,,,,,,,,85.59,211.54
,,,,,,,,,,85.87,176.77
,,,,,,,,,,86.17,163.08
,,,,,,,,,,86.48,145.3
,,,,,,,,,,86.72,125.14
,,,,,,,,,,86.8,120.1
,,,,,,,,,,87.04,62.87
,,,,,,,,,,87.29,25.28
,,,,,,,,,,87.58,-0.09
,,,,,,,,,,87.65,0.04
,,,,,,,,,,87.31,-0.15
,,,,,,,,,,87.56,1.38
,,,,,,,,,,87.66,3.53
