iteration,_is_super,_lambda,_scale_factor,in_inst:0_usecol:1_direct_idx0:18.75,out_inst:0_usecol:2_direct_idx0:18.75,in_inst:0_usecol:1_direct_idx0:21.25,out_inst:0_usecol:2_direct_idx0:21.25,in_inst:0_usecol:1_direct_idx0:23.75,out_inst:0_usecol:2_direct_idx0:23.75,in_inst:0_usecol:1_direct_idx0:26.25,out_inst:0_usecol:2_direct_idx0:26.25,in_inst:0_usecol:1_direct_idx0:28.75,out_inst:0_usecol:2_direct_idx0:28.75,in_inst:0_usecol:1_direct_idx0:31.25,out_inst:0_usecol:2_direct_idx0:31.25,in_inst:0_usecol:1_direct_idx0:33.75,out_inst:0_usecol:2_direct_idx0:33.75,in_inst:0_usecol:1_direct_idx0:36.25,out_inst:0_usecol:2_direct_idx0:36.25,in_inst:0_usecol:1_direct_idx0:38.75,out_inst:0_usecol:2_direct_idx0:38.75,in_inst:0_usecol:1_direct_idx0:41.25,out_inst:0_usecol:2_direct_idx0:41.25,in_inst:0_usecol:1_direct_idx0:43.75,out_inst:0_usecol:2_direct_idx0:43.75,in_inst:0_usecol:1_direct_idx0:46.25,out_inst:0_usecol:2_direct_idx0:46.25,in_inst:0_usecol:1_direct_idx0:48.75,out_inst:0_usecol:2_direct_idx0:48.75,in_inst:0_usecol:1_direct_idx0:51.25,out_inst:0_usecol:2_direct_idx0:51.25,in_inst:0_usecol:1_direct_idx0:53.75,out_inst:0_usecol:2_direct_idx0:53.75,in_inst:0_usecol:1_direct_idx0:56.25,out_inst:0_usecol:2_direct_idx0:56.25,in_inst:0_usecol:1_direct_idx0:58.75,out_inst:0_usecol:2_direct_idx0:58.75,in_inst:0_usecol:1_direct_idx0:61.25,out_inst:0_usecol:2_direct_idx0:61.25,in_inst:0_usecol:1_direct_idx0:63.75,out_inst:0_usecol:2_direct_idx0:63.75,in_inst:0_usecol:1_direct_idx0:66.25,out_inst:0_usecol:2_direct_idx0:66.25,in_inst:0_usecol:1_direct_idx0:68.75,out_inst:0_usecol:2_direct_idx0:68.75,in_inst:0_usecol:1_direct_idx0:71.25,out_inst:0_usecol:2_direct_idx0:71.25,tot_inst:0_usecol:1_direct,p_inst:0_usecol:1_direct_idx0:boreholedepth,p_inst:0_usecol:1_direct_idx0:spatialdiscretizationofgrid,p_inst:0_usecol:1_direct_idx0:constantboreholecross-sectionalarea,p_inst:0_usecol:1_direct_idx0:dispersivity,p_inst:0_usecol:1_direct_idx0:diffusioncoefficient,p_inst:0_usecol:1_direct_idx0:tracerconcentrationofwaterinflow,p_inst:0_usecol:1_direct_idx0:watertemperature,p_inst:0_usecol:1_direct_idx0:alphamin,p_inst:0_usecol:1_direct_idx0:alphamax,p_inst:0_usecol:1_direct_idx0:flowmin,p_inst:0_usecol:1_direct_idx0:flowmax
2,0,0.1,1,0.479679,0.417699,1.60302,0.481318,1.37876,0.505594,1.17235,0.509908,0.981739,0.492655,0.785495,0.463258,0.661506,0.480436,9.3074,1.11076,5.20899,3.27857,4.03955,6.94468,3.72334,8.08679,3.64782,5.88133,3.08497,3.08149,1.09782,1.31565,0.267043,0.64576,0.193803,0.439282,0.188228,0.316142,0.196568,0.240813,0.201639,0.190884,0.201129,0.152719,0.212897,0.125597,0.359664,0.14487,1.6072,,,,10,1e-09,,,,,,
2,0,0.1,0.75,0.475245,0.42798,1.59079,0.487177,1.39477,0.506983,1.18763,0.512613,0.990457,0.50099,0.745149,0.477064,0.554119,0.498775,7.94394,1.05807,5.00528,2.41796,3.98343,4.25058,3.6242,4.76492,3.42566,3.75148,2.75284,2.30756,1.0214,1.20816,0.268884,0.665969,0.199165,0.457929,0.19412,0.329705,0.203128,0.250926,0.208773,0.198751,0.208481,0.158714,0.220465,0.129515,0.369629,0.146808,1.51026,71.25,2.5,0.0314159,6.56985,1e-09,0,28.5,0.2,1.5,0,2
2,0,1,1,0.577907,0.292566,1.66903,0.410745,1.19357,0.465347,0.99043,0.463525,0.903183,0.414171,1.18885,0.320005,0.945258,0.225348,19.5018,2.51834,7.89785,7.56821,4.88347,10.5812,4.92065,10.7223,5.64811,9.2379,5.00579,6.69836,1.44358,2.96099,0.232383,0.441529,0.134152,0.14614,0.124054,0.0927312,0.110271,0.0713945,0.0926169,0.0600166,0.0816887,0.0543071,0.0844132,0.0633313,0.257169,0.123576,2.5818,,,,8.09353,1e-09,,,,,,
2,0,1,0.75,0.546509,0.327676,1.63967,0.432555,1.25176,0.476403,1.04654,0.477227,0.930401,0.439853,1.01679,0.361474,0.724212,0.282695,13.8347,1.95496,6.83903,4.52825,4.59254,5.82921,4.46714,5.88761,4.75495,5.26352,3.95775,4.13103,1.25423,2.21997,0.242261,0.500749,0.151144,0.200594,0.141992,0.131411,0.131669,0.100817,0.116483,0.0834517,0.106067,0.0730864,0.110159,0.0774996,0.287413,0.130306,2.15497,71.25,2.5,0.0314159,5.60608,1e-09,0,28.5,0.2,1.5,0,2
2,0,10,1,0.517706,0.399509,1.6364,0.47702,1.43975,0.490337,1.21881,0.498575,1.07137,0.50225,0.790086,0.485605,0.380492,0.416848,10.7836,1.65276,6.77301,2.07096,4.60588,2.16138,4.13011,2.19814,3.66776,2.22369,2.39041,2.22132,0.823253,1.85758,0.234599,0.744233,0.173272,0.309653,0.169334,0.174089,0.16566,0.117449,0.148605,0.0931012,0.128753,0.0811378,0.115099,0.0802069,0.434859,0.125058,1.8231,,,,1.03152,1e-09,,,,,,
2,0,10,0.75,0.50323,0.413924,1.61557,0.48391,1.44079,0.495465,1.22276,0.504044,1.05753,0.508291,0.748413,0.494222,0.365984,0.448395,8.87128,1.42547,6.09466,1.71322,4.39533,1.77116,3.91728,1.79377,3.43969,1.80885,2.27352,1.80526,0.823089,1.56488,0.243991,0.740769,0.183121,0.352287,0.179314,0.210762,0.178669,0.146445,0.166061,0.115997,0.149203,0.098767,0.139001,0.0925219,0.426191,0.131476,1.66,71.25,2.5,0.0314159,1.19582,1e-09,0,28.5,0.2,1.5,0,2
2,0,100,1,0.468768,0.452643,1.62139,0.502628,1.47776,0.509532,1.25694,0.520083,1.04654,0.52752,0.644126,0.523038,0.327549,0.547671,5.9823,1.02754,4.87521,1.10822,3.92556,1.12182,3.39616,1.12828,2.85173,1.13295,1.92294,1.13241,0.795578,1.07136,0.26458,0.745805,0.206012,0.47578,0.201619,0.322391,0.210554,0.237033,0.214936,0.186321,0.212239,0.151208,0.216889,0.125385,0.42702,0.142901,1.3842,,,,1.44934,1e-09,,,,,,
2,0,100,0.75,0.467113,0.454562,1.60444,0.503266,1.46922,0.509941,1.25133,0.520265,1.03909,0.527353,0.642116,0.522528,0.327084,0.550259,5.70251,0.998044,4.76275,1.0719,3.89882,1.08305,3.38263,1.08777,2.84806,1.09082,1.93116,1.08914,0.802249,1.03567,0.267022,0.741942,0.208502,0.486177,0.204388,0.33458,0.213874,0.247966,0.219016,0.195177,0.217059,0.157534,0.223559,0.129351,0.420416,0.145309,1.3502,71.25,2.5,0.0314159,1.54324,1e-09,0,28.5,0.2,1.5,0,2
2,0,1000,1,0.46286,0.459386,1.5659,0.504761,1.45078,0.510858,1.23931,0.520685,1.02136,0.527007,0.6364,0.521401,0.325756,0.557437,5.04917,0.926787,4.4831,0.98461,3.82552,0.990219,3.34186,0.991011,2.83248,0.990468,1.94849,0.986279,0.818759,0.950129,0.273295,0.732443,0.214947,0.513846,0.211559,0.367767,0.222547,0.278121,0.22984,0.219639,0.230063,0.174856,0.241942,0.140009,0.404503,0.151496,1.28033,,,,1.80602,1e-09,,,,,,
2,0,1000,0.75,0.462692,0.459631,1.56308,0.504867,1.44906,0.510936,1.23815,0.520717,1.02029,0.526968,0.636331,0.521301,0.32574,0.557602,5.02146,0.923713,4.47246,0.980921,3.82406,0.986296,3.34198,0.986921,2.83363,0.986226,1.95037,0.981932,0.819717,0.946472,0.273592,0.73195,0.215249,0.515068,0.211899,0.369311,0.222947,0.279551,0.23031,0.220808,0.230593,0.175673,0.242659,0.140508,0.403678,0.151815,1.27347,71.25,2.5,0.0314159,1.82011,1e-09,0,28.5,0.2,1.5,0,2
