Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
28.75,0.027504387859537783,0.027514473559270145,71.25,73.75
28.95,0.02750438622331052,0.027514473479843038,71.25,73.75
29.15,0.027504383525574817,0.027514473395423723,71.25,73.75
29.35,0.027504385559631615,0.027514473437751354,71.25,73.75
29.55,0.027504388399096212,0.027514473479283184,71.25,73.75
29.75,0.027504384585197012,0.027514473442599115,71.25,73.75
29.95,0.027504395385392948,0.02751447351212771,71.25,73.75
30.15,0.02750437708260968,0.027514473378291816,71.25,73.75
30.35,0.02750439327423068,0.027514473455184263,71.25,73.75
30.55,0.027504374313891827,0.027514473430425672,71.25,73.75
30.75,0.02750438413847303,0.027514473419491012,71.25,73.75
30.95,0.02750438200488362,0.027514473359797658,71.25,73.75
31.15,0.039241410709929626,0.02315896515241024,71.25,73.75
31.35,0.027504396254050524,0.027514473508587347,71.25,73.75
31.55,0.027504392216259603,0.027514473473248802,71.25,73.75
31.75,0.027504370561177986,0.027514473446746002,71.25,73.75
31.95,0.027504381192219617,0.02751447342290969,71.25,73.75
32.15,0.027504387368419113,0.02751447348997905,71.25,73.75
32.35,0.027504380075774215,0.027514473448638863,71.25,73.75
32.55,0.027504397901433317,0.027514473496610754,71.25,73.75
32.75,0.02750438035792861,0.02751447358363484,71.25,73.75
32.95,0.02750439147797649,0.027514473463899704,71.25,73.75
33.15,0.027504388160849894,0.027514473478659495,71.25,73.75
33.35,0.027504375443970393,0.027514473471016817,71.25,73.75
33.55,0.03189999509175242,0.0240574159248141,71.25,73.75
33.75,0.027504388965716286,0.027514473428525667,71.25,73.75
33.95,0.0275043874307268,0.027514473441306024,71.25,73.75
34.15,0.0275043713209263,0.027514473451907336,71.25,73.75
34.35,0.02750438835429629,0.027514473513511904,71.25,73.75
34.55,0.027504379309984204,0.027514473386538243,71.25,73.75
34.75,0.027504373112372495,0.02751447353854047,71.25,73.75
34.95,0.027504378756370004,0.02751447338188529,71.25,73.75
35.15,0.027504385430421715,0.027514473329534876,71.25,73.75
35.35,0.02750439156490121,0.02751447337276184,71.25,73.75
35.55,0.027504383089049785,0.027514473486833613,71.25,73.75
35.75,0.02750438479313279,0.027514473401036656,71.25,73.75
35.95,0.027504389462766034,0.027514473365899232,71.25,73.75
36.15,0.020538651449673477,0.024355454986803256,71.25,73.75
36.35,0.027504388028100818,0.027514473264651118,71.25,73.75
36.55,0.027504365024883928,0.027514473466707157,71.25,73.75
36.75,0.02750439071878216,0.02751447343204418,71.25,73.75
36.95,0.027504375720156956,0.027514473413218544,71.25,73.75
37.15,0.027504381089616725,0.027514473527678704,71.25,73.75
37.35,0.027504382048686986,0.02751447349033053,71.25,73.75
37.55,0.027504378328728183,0.02751447358825111,71.25,73.75
37.75,0.027504388204324794,0.027514473510046416,71.25,73.75
37.95,0.027504391764292813,0.027514473355523063,71.25,73.75
38.15,0.027504388715860296,0.027514473620791655,71.25,73.75
38.35,0.02750437772648902,0.027514473345516894,71.25,73.75
38.55,0.23080768276173896,0.08570109233966315,71.25,73.75
38.75,0.027504392342450945,0.027514473343880422,71.25,73.75
38.95,0.02750439232132007,0.027514473388185013,71.25,73.75
39.15,0.027504377175246557,0.027514473447303726,71.25,73.75
39.35,0.02750437991651218,0.0275144735595516,71.25,73.75
39.55,0.027504388230876867,0.027514473624626324,71.25,73.75
39.75,0.02750439035958103,0.0275144735080877,71.25,73.75
39.95,0.027504373154024323,0.027514473493573846,71.25,73.75
40.15,0.027504402244159412,0.027514473427459562,71.25,73.75
40.35,0.02750438373045915,0.027514473432868922,71.25,73.75
40.55,0.027504370132058222,0.027514473437941837,71.25,73.75
40.75,0.027504390880951794,0.027514473529064172,71.25,73.75
40.95,0.027504382499977116,0.027514473355146774,71.25,73.75
41.15,0.02165478746164627,0.03744984239054334,71.25,73.75
41.35,0.027504386984282165,0.027514473444107353,71.25,73.75
41.55,0.027504377392601816,0.027514473619134252,71.25,73.75
41.75,0.02750438736564629,0.027514473381401183,71.25,73.75
41.95,0.02750437853285304,0.027514473276318965,71.25,73.75
42.15,0.027504386253408376,0.027514473494840548,71.25,73.75
42.35,0.02750438441851477,0.027514473419200547,71.25,73.75
42.55,0.027504382825565363,0.027514473448327626,71.25,73.75
42.75,0.027504375846772365,0.0275144734922803,71.25,73.75
42.95,0.02750438478643762,0.027514473516801384,71.25,73.75
43.15,0.027504384258870127,0.0275144735450612,71.25,73.75
43.35,0.027504392836392975,0.027514473326164805,71.25,73.75
43.55,0.02062645396019011,0.03268748525170975,71.25,73.75
43.75,0.027504378583594315,0.027514473459512075,71.25,73.75
43.95,0.027504388950264164,0.0275144735113864,71.25,73.75
44.15,0.027504378589838615,0.027514473510457542,71.25,73.75
44.35,0.027504377173052964,0.027514473350923427,71.25,73.75
44.55,0.027504373307612056,0.027514473476044247,71.25,73.75
44.75,0.027504382069792013,0.02751447344844351,71.25,73.75
44.95,0.027504392519105934,0.027514473360806743,71.25,73.75
45.15,0.02750437818969005,0.027514473336889125,71.25,73.75
45.35,0.027504395994955903,0.027514473472845205,71.25,73.75
45.55,0.02750439416712733,0.027514473461678474,71.25,73.75
45.75,0.027504396448871024,0.027514473422821508,71.25,73.75
45.95,0.027504369391866387,0.0275144735382647,71.25,73.75
46.15,0.018689689360834944,0.03770199138984157,71.25,73.75
46.35,0.02750439246624346,0.027514473431389193,71.25,73.75
46.55,0.02750439878837602,0.027514473463095233,71.25,73.75
46.75,0.02750437926530965,0.027514473508518968,71.25,73.75
46.95,0.02750437878639328,0.027514473432763677,71.25,73.75
47.15,0.02750436977484324,0.02751447346992317,71.25,73.75
47.35,0.027504396155725985,0.02778961823367184,71.25,73.75
47.55,0.02750437743282208,0.027514473496671358,71.25,73.75
47.75,0.027504377218081796,0.027514473507144265,71.25,73.75
47.95,0.02750437489665076,0.027514473514925322,71.25,73.75
48.15,0.027504388062478798,0.0275144735541042,71.25,73.75
48.35,0.027504385686711905,0.02751447349679316,71.25,73.75
48.55,0.016153732344933974,0.044420608493521765,71.25,73.75
48.75,0.02750437056099923,0.027514473446808577,71.25,73.75
48.95,0.027504367147876744,0.027514473379329073,71.25,73.75
49.15,0.02750437883360409,0.02751447353365604,71.25,73.75
49.35,0.027504391020197392,0.02751447343382598,71.25,73.75
49.55,0.02750439300963586,0.0275144734781581,71.25,73.75
49.75,0.02750439661413961,0.027514473530569676,71.25,73.75
49.95,0.027504391222245076,0.027514473395510552,71.25,73.75
50.15,0.02750439535391026,0.027514473457441777,71.25,73.75
50.35,0.02750438679743641,0.027514473446591567,71.25,73.75
50.55,0.027504386820268487,0.02751447338270746,71.25,73.75
