Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
25.15,0.50000013310893121065703326166840270162,-0.50000001386949977089102503668982535601,71.25,73.75
25.35,0.50000019639153758799210436336579732597,-0.50000001261124704665661511171492747962,71.25,73.75
25.55,0.50000028999385082162376647829660214484,-0.50000001385069359205459704753593541682,71.25,73.75
25.75,0.50000012256832326862365789565956220031,-0.50000001219871914592829398316098377109,71.25,73.75
25.95,0.49999998279201213202682652081421110779,-0.50000001234526414428671614587074145675,71.25,73.75
26.15,0.99040955692981669233887487280298955739,-0.37954116699213497065912292782741133124,71.25,73.75
26.35,0.49999974107404776546559332928154617548,-0.50000000901179797452300590521190315485,71.25,73.75
26.55,0.49999997128764173126569403393659740686,-0.50000001266045313030872421222738921642,71.25,73.75
26.75,0.50000008167578124940177985990885645151,-0.50000001202043165005051150728831999004,71.25,73.75
26.95,0.49999984901883715027182120138604659587,-0.50000001468671140258948071277700364590,71.25,73.75
27.15,0.50000004988654089821409343130653724074,-0.50000001489698209233836223575053736567,71.25,73.75
27.35,0.49999979113495768290320597770914901048,-0.50000001396091475758254318861872889102,71.25,73.75
27.55,0.50000011550936329651761980130686424673,-0.50000001448321240715699786960612982512,71.25,73.75
27.75,0.50000008685197439017855458587291650474,-0.50000001281309802703134437251719646156,71.25,73.75
27.95,0.50000005051776730269352810864802449942,-0.50000001167973329163629614413366653025,71.25,73.75
28.15,0.49999986344272340232919304980896413326,-0.50000001370687430224393210664857178926,71.25,73.75
28.35,0.49999989651433851545192510457127355039,-0.50000001314018771569891441686195321381,71.25,73.75
28.55,0.84156024184955946498831735880230553448,-0.39663671933801852853562763812078628689,71.25,73.75
28.75,0.50000003967422812500842610461404547095,-0.50000001484666456441630089102545753121,71.25,73.75
28.95,0.50000000992938520294472937166574411094,-0.50000001340329491839042930223513394594,71.25,73.75
29.15,0.49999996088746639921751580004638526589,-0.50000001186920561835336229705717414618,71.25,73.75
29.35,0.49999999786442017590815112271229736507,-0.50000001263839410903244697692571207881,71.25,73.75
29.55,0.50000004948281717709335225663380697370,-0.50000001339312116765967175524565391243,71.25,73.75
29.75,0.49999998015025248765397236638818867505,-0.50000001272648897376882359822047874331,71.25,73.75
29.95,0.50000017648613970244753090810263529420,-0.50000001398998028534492732433136552572,71.25,73.75
30.15,0.49999984376132489138910841575125232339,-0.50000001155788020845704977546120062470,71.25,73.75
30.35,0.50000013810749188714055435411864891648,-0.50000001295518947674878518228069879115,71.25,73.75
30.55,0.49999979342902728385311661440937314183,-0.50000001250526993068490355653921142220,71.25,73.75
30.75,0.49999997202929336026500095613300800323,-0.50000001230656265782670288899680599570,71.25,73.75
30.95,0.49999993324294411678465621662326157093,-0.50000001122179971169146028842078521848,71.25,73.75
31.15,0.71336642764196489530093003850197419524,-0.42085060777538163545585803149151615798,71.25,73.75
31.35,0.50000019227739544991351294811465777457,-0.50000001392564386026862166545470245183,71.25,73.75
31.55,0.50000011887472139981980490119894966483,-0.50000001328346288520521056852885521948,71.25,73.75
31.75,0.49999972520874619297259755512641277164,-0.50000001280184713792209549865219742060,71.25,73.75
31.95,0.49999991846959113139803321246290579438,-0.50000001236868762966025769856059923768,71.25,73.75
32.15,0.50000003074622167975604725143057294190,-0.50000001358748913382612499844981357455,71.25,73.75
32.35,0.49999989817382056722649963376170489937,-0.50000001283624473380484687368152663112,71.25,73.75
