Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
45.8,2.2596399488738546,2.259639944714363,2.2596399392306568,2.259639933577063,2.259639927859377
46.0,2.1470732696431094,2.1374077298642544,2.1272624296395155,2.1185404214133174,2.110829713787255
46.2,2.078958037473422,2.069939180802358,2.060472662498324,2.052334209299281,2.045139394542349
46.4,2.0591460163710895,2.059146017641941,2.059146018056327,2.059146017639923,2.059146016679792
46.6,2.0749462235290834,2.065965452427747,2.056538910612114,2.048434825985193,2.041270395137375
46.8,2.083465944259652,2.0834659422026673,2.083465939099994,2.0834659356397403,2.0834659319732087
47.0,2.057724732624899,2.048907462978967,2.0396525377430255,2.0316959930854432,2.024661994934509
47.2,2.0585328971834143,2.0497079527071316,2.040444971692365,2.0324815014080277,2.0254413806443305
47.4,2.0405418918365164,2.040541889298845,2.0405418857340596,2.0405418819121794,2.0405418779532716
47.6,1.9777558210664092,1.9696977663206532,1.9612397409287994,1.9539682987718727,1.9475399670236884
47.8,1.8036397260497326,1.8036397324054996,1.8036397384097909,1.8036397430113245,1.8036397466499317
48.0,1.7698264632539158,1.7637424874393426,1.7573565262991913,1.7518664565562745,1.747012950154522
48.2,1.7750199395248856,1.7688866539155266,1.7624489354357895,1.7569143694345217,1.7520215260357113
48.4,1.7525121932382746,1.7525121946635256,1.7525121955431142,1.7525121957813643,1.752512195595144
48.6,1.7659549153844287,1.759907692797752,1.7535603094897345,1.7481034057286575,1.7432792199705816
48.8,1.750627240177951,1.7506272404454233,1.7506272401116292,1.7506272393082891,1.7506272382024486
49.0,1.746842308933208,1.740976542813358,1.7348196224576466,1.7295264611862473,1.7248470320823415
49.2,1.764548395577616,1.7585145278781218,1.7521811620397163,1.7467363089726102,1.7419227764644514
49.4,1.7869753175052514,1.7869753178010015,1.7869753174609548,1.7869753166220457,1.7869753154616261
49.6,1.8218861466511471,1.8153079188371894,1.8084031732578476,1.802467100030066,1.7972193036278974
49.8,1.8987704355838806,1.898770434514737,1.8987704326315276,1.898770430373081,1.8987704278865627
50.0,1.9604482694147143,1.9525545363461496,1.944268988491644,1.9371458264967345,1.9308485818285785
50.2,2.0110749281225155,2.002700550442677,1.99391050066368,1.9863536137487836,1.9796729337866577
50.4,2.1052198215814197,2.105219821856045,2.1052198211792073,2.105219819786396,2.1052198179337456
50.6,2.2144283100061575,2.204123301472148,2.193306792203602,2.184007739783891,2.1757868954716355
50.8,2.2995356882335267,2.29953568560163,2.2995356816819004,2.29953567733973,2.2995356727560177
51.0,2.3403246122866643,2.328824349531302,2.3167532576486973,2.306375628523689,2.2972012661278467
51.2,2.354165885017239,2.3425342160736773,2.3303251955151203,2.319828987845538,2.310549795874538
51.4,2.387981012951112,2.387981011604237,2.3879810089458755,2.3879810056146455,2.387981001868364
51.6,2.4053886201412316,2.393270644618145,2.3805511796968983,2.3696161388147807,2.359948995907888
51.8,2.431923136178882,2.4319231348039594,2.4319231320727175,2.4319231286423295,2.4319231247804187
52.0,2.441876924766669,2.429412530678598,2.416329451663128,2.405081807855789,2.3951383073547468
52.2,2.4620237168247012,2.4493680494494394,2.436084203091055,2.4246639577622657,2.4145678685763987
52.4,2.4806271813784773,2.4806271796763344,2.4806271765534804,2.480627172745963,2.4806271685196517
52.6,2.476219575030056,2.4634291339821455,2.4500038249504317,2.4384619633999813,2.428258359570549
52.8,2.48861317528544,2.4886131736926576,2.488613170676697,2.488613166954443,2.4886131627984267
53.0,2.4803753960463286,2.4675454992099493,2.4540787752945548,2.4425013084327554,2.4322662272505062
53.2,2.4824392333396545,2.4695897423071056,2.4561024516164998,2.444507303309894,2.4342565908146283
53.4,2.490201562707951,2.490201561143005,2.490201558154692,2.4902015544548877,2.490201550317707
53.6,2.477934016235844,2.465127298407883,2.451684904679762,2.440128355258805,2.429911766590567
53.8,2.483465883547162,2.4834658820519206,2.4834658791434316,2.4834658755178474,2.4834658714505684
54.0,2.470372258352475,2.4576373309784905,2.444270290448009,2.432778522313334,2.422619203251401
54.2,2.470146503584711,2.4574137193300336,2.444048928294896,2.4325590940719475,2.422401484688148
54.4,2.4788657287982088,2.478865727253093,2.4788657242968024,2.478865720633944,2.4788657165366397
54.6,2.467865089463459,2.4551539657046035,2.4418119109651486,2.430341623894843,2.42020129561559
54.8,2.477460130213197,2.477460128776438,2.477460125935272,2.477460122372555,2.477460118364676
55.0,2.4696045966671503,2.456876957241634,2.443517566405014,2.4320323747823176,2.421878869697739
55.2,2.470469976756914,2.4577341211296475,2.4443661062712505,2.432873500498134,2.4227134409205693
55.4,2.4732640333155325,2.473264032542904,2.473264030402981,2.473264027446614,2.4732640239774515
55.6,2.472558222769899,2.4598025420577305,2.4464137187302732,2.4349032242750686,2.424727350583601
55.8,2.480703729731368,2.480703728229755,2.480703725317309,2.480703721690617,2.4807037176241167
56.0,2.4700632651489847,2.4573312711930906,2.443967309684713,2.43247818861405,2.4223212096942093
56.2,2.4691378429590474,2.456414634923943,2.4430598954350016,2.431578702618816,2.4214287326865764
56.400000000000006,2.4780220487860682,2.478022047311171,2.478022044429418,2.4780220408313407,2.4780220367918444
56.6,2.468657597843895,2.45593895000103,2.4425889977111606,2.4311119210441863,2.420965590409571
56.8,2.478936401902871,2.4789364004652086,2.4789363976216348,2.4789363940556206,2.4789363900438874
57.0,2.4717596213907185,2.4590115222937055,2.4456306562449264,2.4341270021835024,2.4239571753450755
57.2,2.4740785691212106,2.461308454074696,2.447904479291038,2.436380958438825,2.426193568328344
57.400000000000006,2.486632221966116,2.48663222051584,2.486632217651418,2.4866322140610886,2.4866322100229605
57.6,2.48153771525248,2.468696784114943,2.4552184788609934,2.443631055971262,2.4333871735564445
57.8,2.49521700106957,2.495216999772699,2.4952169970608096,2.4952169935944823,2.4952169896605154
58.0,2.49456135848247,2.481596780734615,2.4679886908581725,2.4562896903717744,2.4459471671597446
58.2,2.503795689123575,2.4907434411757188,2.4770433294944265,2.465265217020525,2.454852754713952
58.400000000000006,2.525369884212834,2.5253698826503053,2.5253698796297632,2.5253698758730363,2.5253698716631496
58.6,2.527299377794446,2.514023987195141,2.5000896575934672,2.488110186381225,2.4775197129293023
58.8,2.5416235869681403,2.5416235853183444,2.5416235821901343,2.5416235783273433,2.5416235740133457
59.0,2.5346192060435233,2.52127432038318,2.507267045570347,2.4952248621162867,2.4845789473665567
59.2,2.526752379074299,2.513482181301378,2.4995533015897426,2.487578515121389,2.4769921827978383
59.400000000000006,2.53043026868924,2.5304302672530143,2.530430264360041,2.530430260708783,2.530430256588916
59.6,2.517172257662759,2.503993013858183,2.4901596034059588,2.478266893313925,2.4677531211891273
59.8,2.5241715306324632,2.5241715291427345,2.5241715261997903,2.524171522510771,2.524171518361504
60.0,2.513048317579547,2.4999082254709517,2.486115909376402,2.4742585279140368,2.46377598770789
60.2,2.5117390262773887,2.4986113650692126,2.48483209689622,2.4729859328513877,2.4625133094233447
60.400000000000006,2.531791586737422,2.5317915853851973,2.5317915825790496,2.5317915790013052,2.5317915749455615
60.6,2.5366907585169836,2.5233262064613173,2.5092982897737186,2.4972383608836597,2.486576758674397
60.8,2.5516333910375475,2.5516333891006906,2.551633385661276,2.5516333815226244,2.55163337695838
61.0,2.539295330393917,2.5259060502668502,2.511852177413503,2.4997699331921774,2.4890886026451415
61.2,2.5355491344214345,2.5221954205713084,2.5081788793653845,2.496128729502881,2.485475772031366
61.400000000000006,2.5417068271163687,2.5417068254330006,2.5417068222694703,2.5417068183762446,2.5417068140352876
61.6,2.5258294835611106,2.5125680481893067,2.4986483664986077,2.486681488230042,2.4761021475930267
61.8,2.5248323473239034,2.524832345956012,2.5248323431402993,2.5248323395601133,2.5248323355066398
62.0,2.508285639178002,2.495190763795339,2.481445908814233,2.4696293301108256,2.459182861661071
62.2,2.503031249284548,2.4899862584424834,2.476293764074903,2.4645222002699714,2.454115527322008
62.400000000000006,2.500669209225368,2.5006692076587598,2.5006692046583545,2.500669200939458,2.5006691967787367
62.6,2.478341765901745,2.465531176743197,2.4520847195266238,2.4405246766873026,2.430304999656165
62.8,2.4701553953198054,2.470155393687115,2.4701553906475135,2.470155386920267,2.4701553827715848
63.0,2.4403215160672893,2.427871889328375,2.4148043106726225,2.403569992680813,2.393638272901652
63.2,2.4282984572227777,2.415962976315107,2.4030152092419343,2.3918838943637803,2.382043234672117
63.400000000000006,2.422623399299273,2.4226233971410487,2.4226233935968184,2.422623389475222,2.422623385008167
63.6,2.383778161005627,2.3718653558032687,2.3593612450632886,2.348611346149868,2.339107878339278
63.8,2.387701716327755,2.3877017145521156,2.387701711443984,2.3877017077263143,2.3877017036385775
64.0,2.366182723313821,2.354436966813178,2.3421081958233136,2.331509037599487,2.3221388319966567
64.2,2.3597446156127755,2.348059981242914,2.3357953656470896,2.3252513619000204,2.3159299153384185
64.4,2.35368785122316,2.3420607195646372,2.3298564608974583,2.3193643465610547,2.3100887729312247
64.6,2.349300478622622,2.337715001273852,2.3255544650755087,2.3150999398504815,2.3058575973168147
64.8,2.3574937386284973,2.357493737378677,2.3574937348523277,2.3574937316599147,2.357493728055759
65.0,2.3510342749981357,2.3394323370350176,2.3272545231797497,2.3167851441931155,2.307529670163444
65.2,2.3565410162639897,2.344886797408929,2.3326541070323574,2.3221375496863397,2.312840367163356
65.4,2.3769430627441315,2.3650951475144155,2.3526591464076057,2.3419678009439098,2.332516096654798
65.6,2.406801082191355,2.3946696965398218,2.3819361552523084,2.370989012276779,2.3613111701120317
65.8,2.445821238870079,2.4458212369180323,2.44582123356728,2.445821229592748,2.4458212252409406
66.0,2.4562350424912642,2.4436343324675045,2.430408171320029,2.4190375184881323,2.408985271633203
66.2,2.4639163936184127,2.4512427573843603,2.437940049594542,2.426503588359998,2.41639316305743
66.4,2.479208016111932,2.466389201052119,2.4529341083153784,2.4413666403363696,2.431140398277702
66.6,2.484223241556469,2.4713568130279406,2.457851744130189,2.4462413117360002,2.435977087315487
66.8,2.490665981304653,2.4906659798528046,2.490665976982744,2.4906659733842162,2.4906659693362734
67.0,2.479465774093933,2.466644512702174,2.453186852868169,2.441617178486072,2.4313889862639497
67.2,2.4687037020618856,2.455984614694727,2.4426341997554406,2.431156724247715,2.4210100402030834
67.4,2.451991993566381,2.4394315672406814,2.426247688670586,2.414913386016414,2.4048932741998676
67.6,2.4468500614976745,2.4343384514129225,2.4212058127863734,2.409915562130062,2.399934394969255
67.8,2.425289711323236,2.4252897105014366,2.4252897083573295,2.425289705437218,2.425289702030639
68.0,2.3987376931427686,2.386682861742912,2.374029674553343,2.3631516127254923,2.35353484186929
68.2,2.3983002072918493,2.3862495265819113,2.373600695498063,2.3627263781445156,2.3531129172192533
68.4,2.3712484687523636,2.359454617979996,2.347075364884048,2.3364328062094115,2.3270242319724095
68.6,2.3586571243465997,2.3469828154629893,2.3347290384676724,2.324194353265419,2.3148811451518156
68.8,2.359517009915731,2.3595170081746577,2.3595170051306704,2.359517001491559,2.3595169974912107
69.0,2.3353946345830288,2.3239411790382403,2.3119192177062593,2.3015838265765933,2.292446804764872
69.2,2.331082379671971,2.3196698630671704,2.3076908721393057,2.2973924225695614,2.2882880586467658
