Z1[L],C1[M L^-3  or microS/cm],Z2[L],C2[M L^-3  or microS/cm],Z3[L],C3[M L^-3  or microS/cm],Z4[L],C4[M L^-3  or microS/cm],Z5[L],C5[M L^-3  or microS/cm]
43.908,3.405504513133039,45.326,2.4317958516372187,45.223,2.1477892788524855,43.301,2.7402677507073037,48.994,1.4101792631945216
44.203,3.3968056371452833,45.361,2.4245011992554226,45.358,2.143440942785193,43.489,2.7123017250892416,49.261,1.408817468663338
44.674,3.131618365500293,45.573,2.2847279533904525,45.432,2.134420323352754,43.532,2.70429911686592,49.388,1.4196720589283842
45.09,2.912988246509093,45.751,2.1658916971976394,45.579,2.123217133614412,43.58,2.700596743799352,49.445,1.4204856578424851
45.232,2.8115165888655924,45.978,2.1626009136165836,45.684,2.0767342255290657,43.724,2.703358192925265,49.486,1.420892183921478
45.416,2.7744733077039996,46.113,2.0766749484847993,45.702,2.0664923094084315,43.832,2.7000846434622616,49.636,1.4254891854055216
45.948,2.510469092260905,46.163,2.011917357272617,45.768,2.0375335383977697,43.939,2.690041092619981,49.76,1.428537870535942
46.214,2.3240267445896934,46.325,1.9471232969759682,45.785,2.0499079720625817,44.088,2.6446370026957795,49.953,1.4326801591080625
46.452,2.233168243976587,46.349,1.889794625137975,45.908,2.0166848745037953,44.192,2.5797613622733335,50.097,1.43059239806187
46.62,2.1917914375560175,46.356,2.007658681997893,46.115,1.9307496050806179,44.215,2.581586980488268,50.249,1.4316940731347416
46.9,2.1118852234673766,46.509,1.936091445691551,46.369,1.8938489600766502,44.299,2.5610473479927407,50.362,1.4323867782344564
47.126,2.1455611237602428,46.6,1.971262592715263,46.373,1.890706900156104,44.425,2.512887211502283,50.509,1.4323719668768944
47.38,2.1348575805151455,46.708,1.9957442833011612,46.47,1.89164946988017,44.501,2.4899742638415687,50.62,1.431281080910648
47.606,1.9474138083637598,46.797,1.9878397163157728,46.552,1.8928771998668623,44.522,2.4510460237554526,50.722,1.4310463908620163
47.837,1.8437999637735003,46.922,1.9547350623294109,46.576,1.893139628979989,44.512,2.43481733604026,50.962,1.4271231095123909
48.099,1.8633304924977978,47.014,1.942356672589355,46.695,1.8375094312266724,44.577,2.4649701100165826,51.175,1.4233320679270463
48.311,1.6574402844150113,47.111,1.9399224400750086,46.81,1.855759771776326,44.598,2.4184747632151584,51.317,1.4197045112118787
48.531,1.5621545872621199,47.298,1.900783483442288,46.882,1.8064024563487209,44.777,2.41010493706205,51.581,1.4144085917523626
48.697,1.5587904300494955,47.375,1.891872899877913,47.079,1.7650965990127587,44.866,2.386113655079268,51.788,1.412583807786541
48.855,1.5636170773148819,47.485,1.857649442833349,47.16,1.7601145041200823,44.916,2.3867943835114858,51.945,1.4135832651898341
49.056,1.568064749947095,47.61,1.8109454183588185,47.346,1.6695484958271378,45.355,2.1079832839676356,52.088,1.4142162025122615
49.267,1.5735614006781646,47.723,1.7824810408789973,47.438,1.6566310465081187,45.712,1.9853582311437492,52.264,1.416656483240817
49.318,1.5722002944575935,47.805,1.7457189208702544,47.466,1.6610442341797154,46.075,1.970376083658934,52.43,1.418577818779309
49.452,1.5747505748213968,47.862,1.7333873059330442,47.504,1.655581269288075,46.435,1.8409908516783617,52.572,1.420774324745588
49.653,1.5796954598014394,48.066,1.6581655161255155,47.614,1.6614443261818592,46.68,1.828769471204481,52.776,1.4221448326191506
49.845,1.580360750863528,48.2,1.6291233793622382,47.708,1.6644397815256724,47.057,1.7822755308645697,52.997,1.426341157145842
50.129,1.582240307845359,48.429,1.5744896848720544,47.792,1.628229550114804,47.32,1.7796741168372279,53.289,1.433093177665711
50.243,1.582943534397677,48.498,1.555483506731869,47.911,1.5992026552412995,47.602,1.6790839096386634,53.59,1.438088184523329
50.149,1.5833806246529718,48.625,1.5274280525272104,48.032,1.5219527296534694,47.805,1.6209233705496018,53.81,1.4442687080435008
