Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
56.46,1e+30,-0.7538994914444856,-1.1878279273184944,-20.439160281447357,-39.568602125463485,-48.844998245532224
57.46,1e+30,-2.796575908085174,-1.2411002830122015,-20.794394304575007,-38.06641150207474,-45.15170047469644
58.46,1e+30,-3.078711699647215,-1.4585063518184143,-21.2798216543614,-37.047559193746,-41.9513422361307
59.46,1e+30,-5.261384024448489,-1.45108226469074,-21.673000470108263,-36.53234522154116,-39.25489319012752
60.46,1e+30,0.723671390581444,-0.8924060325581422,-22.099056483003892,-36.50246507000088,-37.019459571965626
61.46,1e+30,1.2409362924905736,-0.8328373554545578,-23.561802142125657,-36.89343882033222,-35.153975111048794
62.46,1e+30,-7.049081197871374,-1.7911618484037035,-26.819671878963504,-37.635252573526486,-33.579942682260366
63.46,1e+30,-6.458732679796981,-2.605870176236863,-31.375064451127173,-38.71708144857405,-32.30283386833264
64.46000000000001,1e+30,-3.0573237099465587,-3.1287543957296293,-36.328610706789846,-40.11960140950168,-31.33598988826384
65.46000000000001,1e+30,-13.15650265835427,-3.879569662872882,-40.78605705016423,-41.76719434763288,-30.65861551640353
66.46000000000001,1e+30,-8.240667455316725,-3.7745853994995286,-43.65908000753234,-43.641146459154584,-30.31353723225959
67.46000000000001,1e+30,-2.0944571593033743,-3.0151721636761977,-44.59835294568927,-45.67750593796666,-30.30900040250765
68.46000000000001,1e+30,-4.897200330001738,-2.72037903247508,-43.97295967698801,-47.70586102693596,-30.577930061629786
69.46000000000001,1e+30,-9.433493609159314,-2.699301576967173,-41.90078780666886,-49.56337095361857,-31.06113435364614
70.46000000000001,1e+30,-3.1612109011308576,-1.9919238437297508,-38.263092264357965,-51.214949250992845,-31.769035267466165
71.46000000000001,1e+30,2.21196179093306,-0.9187075426444835,-33.36668814743416,-52.505905493942805,-32.609448136065794
72.46000000000001,1e+30,-1.4931287471630412,-0.32447382714235573,-28.2689643148841,-53.37122542898135,-33.51519080708351
73.46000000000001,1e+30,0.32833908444365534,-0.08665667865409432,-24.048096460546958,-53.80892503169002,-34.418553993370665
74.46000000000001,1e+30,0.6753150645641881,-0.07344731458169917,-21.608649247220683,-53.86919923039238,-35.2457512009903
75.46000000000001,1e+30,-0.43453965729258925,-0.4260153810097336,-21.73733938493467,-53.626768669317926,-35.91024099708591
76.46000000000001,1e+30,-2.3389228742759087,-1.2276297352215124,-24.964061360009055,-53.14515387046686,-36.309963536490955
77.46000000000001,1e+30,-6.867212281125148,-2.2824506006548972,-31.38613049168157,-52.44468622222075,-36.33411532705975
78.46000000000001,1e+30,-8.816093046099695,-3.151953854290582,-40.743397296254216,-51.31263382414295,-35.76453798410466
79.46000000000001,1e+30,-2.4689113721836975,-4.293750070187002,-52.691317636587996,-49.449232519580505,-34.39660401657699
80.46000000000001,1e+30,-7.2786847989193575,-7.666141911352838,-65.6870570734909,-46.162829468843256,-31.835664645680936
81.46000000000001,1e+30,-45.03785262280235,-13.165113550186675,-73.98831965787076,-40.364583406047416,-27.474987134394382
82.46000000000001,1e+30,-55.76598067480904,-15.922070907635145,-73.70032826751378,-35.26121008486223,-23.695453948769114
83.46000000000001,1e+30,5.202786260932498,0.6854469281475417,-27.457929662436243,-39.717638445862974,-22.896720040755497
84.46000000000001,1e+30,-3.658518396982629,-1.3984564406812012,-6.842407031865463,-2.3584522575596623,-5.374380130518404
